Processor,Iteration,Area,Model,Diameter,Masks,Calculation_Time,Length
CPU,cell_00505_neur_ips_0224,50176,cyto3,63.7735910622401,3,1.1969309549313039,224.0
CPU,cell_00505_neur_ips_0448,200704,cyto3,61.9170757481131,8,3.1371839490020648,448.0
CPU,cell_00505_neur_ips_0672,451584,cyto3,64.04454403997498,16,5.4431637960951775,672.0
CPU,cell_00505_neur_ips_0896,802816,cyto3,66.22922490572147,24,8.968121410929598,896.0
CPU,cell_00505_neur_ips_1120,1254400,cyto3,68.59921044395817,37,15.325547721004114,1120.0
CPU,cell_00505_neur_ips_1344,1806336,cyto3,68.76599670124678,57,19.827654083026573,1344.0
CPU,cell_00505_neur_ips_1568,2458624,cyto3,68.85885511472844,80,27.487889767973684,1568.0
CPU,cell_00505_neur_ips_1792,3211264,cyto3,69.64942688522979,95,32.47875554300845,1792.0
CPU,cell_00505_neur_ips_2016,4064256,cyto3,69.1448779838541,119,39.348231749027036,2016.0
CPU,cell_00505_neur_ips_2160,5529600,cyto3,68.08718809277357,162,57.6974148680456,2351.510153071851
GPU,cell_00505_neur_ips_0224,50176,cyto3,63.7735910622401,3,1.2437635860405862,224.0
GPU,cell_00505_neur_ips_0448,200704,cyto3,61.9170757481131,8,0.470700727077201,448.0
GPU,cell_00505_neur_ips_0672,451584,cyto3,64.04454403997498,16,0.6121141210896894,672.0
GPU,cell_00505_neur_ips_0896,802816,cyto3,66.22922490572147,24,0.9210580700309947,896.0
GPU,cell_00505_neur_ips_1120,1254400,cyto3,68.39504431870037,37,1.3505057549336925,1120.0
GPU,cell_00505_neur_ips_1344,1806336,cyto3,68.76599670124678,57,1.8579618299845606,1344.0
GPU,cell_00505_neur_ips_1568,2458624,cyto3,68.85885511472844,80,2.663315547979437,1568.0
GPU,cell_00505_neur_ips_1792,3211264,cyto3,69.64942688522979,95,3.0114187999861315,1792.0
GPU,cell_00505_neur_ips_2016,4064256,cyto3,69.1448779838541,116,3.8444069490069523,2016.0
GPU,cell_00505_neur_ips_2160,5529600,cyto3,68.0684853900192,157,5.217196471057832,2351.510153071851
